Summary,Issue Type,Priority,Epic Name,Sprint,Assignee,Original Estimate,Labels,Description
"Create database migrations",Story,Highest,Backend Infrastructure,Sprint 1,David H.,4h,critical-path,"Create all SQL migration files for: Users, ScrapeJobs, AnalysisJobs, PredictionJobs, Articles, NewsSources, AnalysisResults, Predictions, APIKeys, AuditLogs. Use TimescaleDB hypertables for time-series data. Files: /db/migrations/. Acceptance Criteria: All tables created with proper indexes; Foreign key constraints in place; Hypertables configured; Migrations can be run and rolled back cleanly"
"Implement User CRUD operations",Story,Highest,Backend Infrastructure,Sprint 1,David H.,6h,critical-path,"Implement CreateUser, GetUser, GetUserByEmail, UpdateUser, DeleteUser in storage/postgres.go. Files: /app/internal/storage/postgres.go. Acceptance Criteria: All CRUD operations working; Password hashing with bcrypt; Email uniqueness enforced; Unit tests for each operation"
"Wire /auth/register endpoint",Story,Highest,Backend Infrastructure,Sprint 1,David H.,2h,critical-path,"Connect the register handler to actually save users to the database. Files: /app/internal/api/handlers.go. Acceptance Criteria: User saved to database on registration; JWT token returned on success; Proper error handling for duplicate emails; Password validation"
"Wire /auth/login endpoint",Story,Highest,Backend Infrastructure,Sprint 1,David H.,2h,critical-path,"Connect the login handler to verify credentials from database. Files: /app/internal/api/handlers.go. Acceptance Criteria: Password verified against bcrypt hash; JWT access + refresh tokens returned; Failed attempts logged; Proper error messages"
"Implement Job CRUD operations",Story,Highest,Backend Infrastructure,Sprint 1,David H.,8h,critical-path,"Implement CRUD for ScrapeJobs, AnalysisJobs, and PredictionJobs in storage/postgres.go. Files: /app/internal/storage/postgres.go. Acceptance Criteria: Create, Read, Update, Delete for all job types; Status tracking; User ownership enforced; Pagination support"
"Wire job endpoints to return DB data",Story,Highest,Backend Infrastructure,Sprint 2,David H.,4h,critical-path,"Update all job GET endpoints to query actual data from database. Files: /app/internal/api/handlers.go. Acceptance Criteria: GET endpoints return user's jobs; Pagination working; Filtering by status"
"Implement article listing with pagination",Story,High,Backend Infrastructure,Sprint 2,David H.,3h,,"Implement GET /news/articles endpoint with pagination and filtering. Files: /app/internal/api/news_handlers.go. Acceptance Criteria: Pagination with limit/offset; Filter by source, date, category; Sort by date, relevance"
"Complete WebSocket job status streaming",Story,High,Backend Infrastructure,Sprint 2,David H.,4h,integration,"Implement real WebSocket message routing for job status updates. Files: /app/internal/api/handlers.go. Acceptance Criteria: Client can subscribe to job updates; Status changes broadcast in real-time; Connection heartbeat"
"Implement full-text search for articles",Story,High,Backend Infrastructure,Sprint 3,David H.,4h,,"Implement GET /news/articles/search with PostgreSQL full-text search. Files: /app/internal/api/news_handlers.go. Acceptance Criteria: Full-text search across title, description, content; Relevance ranking; Highlighting"
"Add API rate limiting per user",Story,High,Backend Infrastructure,Sprint 3,David H.,3h,,"Implement rate limiting middleware using Redis. Files: /app/internal/api/middleware.go. Acceptance Criteria: Configurable limits per endpoint; Per-user tracking via JWT; 429 response with retry-after header"
"Add Kalshi API proxy endpoints",Story,Medium,Backend Infrastructure,Sprint 3,David H.,4h,,"Add proxy endpoints for Kalshi API. Files: /app/internal/api/kalshi_handlers.go. Acceptance Criteria: GET /kalshi/events proxied; Caching implemented; Error handling"
"Add Prometheus metrics endpoints",Story,Medium,Backend Infrastructure,Sprint 4,David H.,3h,,"Add /metrics endpoint for Prometheus scraping. Files: /app/cmd/api/main.go. Acceptance Criteria: Request count by endpoint; Response time histograms; Error rates"
"Load testing and optimization",Story,High,Backend Infrastructure,Sprint 4,David H.,6h,,"Perform load testing and optimize bottlenecks. Acceptance Criteria: Load test with 100 concurrent users; p95 response time < 200ms; Document performance baselines"
"Production deployment configuration",Story,Highest,Backend Infrastructure,Sprint 4,David H.,4h,critical-path,"Finalize Docker and deployment configs for production. Files: /deploy/docker-compose.yml. Acceptance Criteria: Production docker-compose ready; Environment variables documented; Health checks configured"
"Add loading skeleton components",Story,Highest,Frontend Development,Sprint 1,,4h,,"Create skeleton/shimmer loading states for all panels. Files: /website/src/components/panels/*.jsx. Acceptance Criteria: Skeleton component for each panel type; Smooth shimmer animation; Accessible (aria-busy)"
"Prepare auth service for backend integration",Story,Highest,Frontend Development,Sprint 1,,4h,critical-path,"Refactor auth.js to support backend API calls. Files: /website/src/utils/auth.js. Acceptance Criteria: API client methods for login/register; Token storage prepared; Backward compatible"
"Connect auth to backend API",Story,Highest,Frontend Development,Sprint 2,,6h,critical-path blocked,"Replace localStorage auth with actual backend API calls. Blocked by: BE-003, BE-004. Files: /website/src/utils/auth.js, Login.jsx, Signup.jsx. Acceptance Criteria: Login calls backend; Tokens stored securely; Auto-refresh"
"Replace direct Polymarket API calls with backend proxy",Story,Highest,Frontend Development,Sprint 2,,4h,blocked,"Route all Polymarket API calls through our backend proxy. Blocked by: BE-008. Files: /website/src/services/polymarketAPI.js. Acceptance Criteria: All calls go through backend; Fallback handling; Caching"
"Implement job status polling/WebSocket listener",Story,High,Frontend Development,Sprint 2,,4h,integration blocked,"Add WebSocket connection for real-time job status updates. Blocked by: BE-008. Files: /website/src/services/jobsAPI.js. Acceptance Criteria: WebSocket established on login; Fallback to polling"
"Complete BuySellPanel with order preview",Story,High,Frontend Development,Sprint 3,,6h,,"Finish implementing the buy/sell panel. Files: /website/src/components/panels/BuySellPanel.jsx. Acceptance Criteria: Order form; Real-time cost calculation; Order preview; Risk warnings"
"Complete MarketTradesPanel with real data",Story,High,Frontend Development,Sprint 3,,4h,,"Implement real trade history display. Files: /website/src/components/panels/MarketTradesPanel.jsx. Acceptance Criteria: Recent trades displayed; Real-time updates; Trade direction color coding"
"Complete MarketDetailDock chart modes",Story,Highest,Frontend Development,Sprint 3,,6h,,"Finish the WIP chart mode tabs. Files: /website/src/components/MarketDetailDock.jsx. Acceptance Criteria: All chart modes functional; Smooth tab transitions; Responsive sizing"
"Add error toast notifications",Story,High,Frontend Development,Sprint 3,,3h,,"Implement toast notification system. Files: /website/src/components/Toast.jsx. Acceptance Criteria: Toast variants (error, success, warning, info); Auto-dismiss; Accessible"
"Add unit tests with Jest/Vitest",Story,Medium,Frontend Development,Sprint 4,,8h,tech-debt,"Set up testing framework and write unit tests. Files: /website/src/**/*.test.jsx. Acceptance Criteria: Vitest configured; 70% coverage target"
"Mobile responsive layout",Story,Medium,Frontend Development,Sprint 4,,12h,,"Make the terminal responsive. Files: /website/src/App.jsx, styles.css. Acceptance Criteria: Tablet breakpoint (768px); Mobile breakpoint (480px); Collapsible sidebar"
